/I/ with smile face, /i:/ not laugh (it vs eat)
CMPs	 	: chip multiprocessors
PEs			: processing elements (PEs), in PEs, NIs, R
-------------------------------------------------------
multiple 	[ˈmʌltɪpl]		: many in number
confine		[kənˈfaɪn]		: gioi han
sufficiently	[səˈfɪʃnt]	: du, thich dang
compensate	[ˈkɒmpenseɪt]	: den bu
potential	[pəˈtenʃl]		: tiem luc
associate	[əˈsəʊʃieɪt]	: lien ket
critical	[ˈkrɪtɪkl]		: quan trong, gioi han
cumulative	[ˈkjuːmjələtɪv]	: tich luy decouple: 	tach roi
bypass		[ˈbaɪpɑːs]		: bo qua
ability		[əˈbɪləti]		: nang luc
proof		[pruːf]			: su chung minh
draw		[drɔː]			: loi keo
impact		[ˈɪmpækt]		: tac dong
ensure 		/in'ʃuə/		: đảm bảo
observe 	/əbˈzərv/		: quan sát 
attractive 	/əˈtraktiv/		: hấp dẫn
promise		/präməs/		: trien vong
mitigate 	[ˈmɪtɪɡeɪt]		: make less severe, serious, or painful
potential 	/pəˈten(t)SHəl/	: having or showing the capacity to become or develop into something in the future (tiem nang)
decouple 	/dēˈkəpəl/		: tach ra
imperative 	/əmˈperədiv/	: bat buoc
devise 		/dəˈvīz/Submit	: phat minh ra, nghi ra
compensate 	/ˈkämpənˌsāt/	: bu dap
majority 	/məˈjôrədē/		: phan lon
express		[ɪkˈspres]		: bieu dien
obtain 		[əbˈteɪn]		: dat duoc
scheme 		[skiːm] 		: a plan or system for doing or organizing sth
process		[ˈproʊses] 		: a series of things that are done in order to achieve a particular result
naive		[naɪˈiːv]		: chat phac
approximate	[əˈprɒksɪmət]	: xap xi
figure	 	[ˈfɪɡə(r)]		: a number representing a particular amount, especially one given in official information
proportional /prəˈpôrSH(ə)n(ə)l/: cân bằng, tỉ lệ, tương xứng
evaluation 	 /əˌvalyəˈwāSH(ə)n/	: đánh giá
